address,balance,tx_count,last_active
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,11.281146110629786,26,2026-02-03T20:14:11
0x5c2e112783a6854653b4bc7dc22248d3e592559c,7.4577801348192505,31,2026-02-05T17:44:59
0x42e213a3ad048e899b89ea8cb11d21bc97b84748,0.4701771002943328,25,2026-01-30T12:49:11
0xd97c3d4e6f36d0aed73cf3bc83d38b9ce4ba91bc,0.060068130662465434,23,2026-02-04T10:16:35
0xeff6cb8b614999d130e537751ee99724d01aa167,0.000285581268499881,201,2026-02-04T06:05:23
0x0000000000007a8d56014359bf3e98f18b7773f9,1.0662352453212e-05,78,2026-02-05T05:25:11
0x0000000000efa780a8e6f50fc5de9c1497bfd175,1.27e-16,54,2026-02-06T13:51:47
0x06cff7088619c7178f5e14f0b119458d08d2f5ef,9e-18,72,2026-02-03T11:59:59
0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,4e-18,42,2026-02-05T20:22:11
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1e-18,77,2026-01-31T20:01:47
0xd2b37ade14708bf18904047b1e31f8166d39612b,1e-18,172,2026-02-04T20:57:59
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,1e-18,159,2026-02-01T07:30:59
