address,balance,tx_count,last_active
0x004395edb43efca9885cedad51ec9faf93bd34ac,33255660.223656178,1414,2026-02-06T13:47:11
0x28c6c06298d514db089934071355e5743bf21d60,2670257.32683139,662,2026-02-06T12:50:47
0x5ee8dd3eefd8dbe1b019e312bce563ff6d7d039e,2106092.4676923095,56,2026-02-05T18:10:11
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1273270.6218290026,162,2026-02-06T12:58:59
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,855520.6789578418,388,2026-02-06T12:34:35
0xf89d7b9c864f589bbf53a82105107622b35eaa40,806980.6121691492,237,2026-02-06T14:11:11
0xa5946a2c7a6c4232224b89a696ae51879bf5aed1,586753.422282,25,2026-02-05T22:13:47
0xc80afd311c9626528de66d86814770361fe92416,408631.029265535,29,2026-02-05T12:22:11
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,372838.6041331164,251,2026-02-06T08:35:35
0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,275418.3212764215,54,2026-02-06T05:28:35
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,263617.49252940755,132,2026-02-06T09:19:47
0xb51bf9029d778899d42e96ebcdc0498bd061006d,212713.17598727663,48,2026-02-06T03:58:59
0x58edf78281334335effa23101bbe3371b6a36a51,193487.30194903322,41,2026-02-06T10:02:35
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,179124.59697608,67,2026-02-06T12:34:35
0x21a31ee1afc51d94c2efccaa2092ad1028285549,158143.89538077998,208,2026-02-06T11:53:11
0x000000000004444c5dc75cb358380d2e3de08a90,150692.2693056288,432,2026-02-06T11:31:47
0x089406592d5d2d5f1dd72a5bc3ca9e34101c3eec,143196.79642007608,135,2026-02-06T09:50:23
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,104964.38523535,209,2026-02-06T12:54:59
0xc095e413dbdfa46be1dbac8e5fd8398e942f02d6,95958.17581,23,2026-02-05T19:27:23
0x1579b5f6582c7a04f5ffeec683c13008c4b0a520,95496.75722324,165,2026-02-06T06:57:47
0x7f604d597c15b2e2f60dc645844f68b1d781b752,91523.42220563735,104,2026-02-06T05:29:47
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,82812.3533557047,53,2026-02-05T19:41:59
0xcffad3200574698b78f32232aa9d63eabd290703,72060.25822105109,57,2026-02-03T08:51:35
0x001b6450083e531a5a7bf310bd2c1af4247e23d4,70840.2140568463,1474,2026-02-06T14:11:59
0x0d0707963952f2fba59dd06f2b425ace40b492fe,69594.43809684688,64,2026-02-05T21:32:23
0xa03400e098f4421b34a3a44a1b4e571419517687,24524.035200885584,31,2026-02-06T09:04:59
0x157dfa656fdf0d18e1ba94075a53600d81cb3a97,19287.36570468146,335,2026-02-06T10:34:23
0x1373e57f764a7944bdd7a4bd5ca3007d496934da,16830.74253241834,248,2026-02-06T13:51:47
0xff8a035ea6c80673f741c2265985ed976a40d390,13755.310449319999,33,2026-02-06T12:34:35
