market_id,resolution,resolution_binary,volume,category,closed_time,price_t0,price_t1d,price_t7d,price_t30d
252382,Yes,1,3921.1586100000004,,2023-10-15 15:20:18+00,0.7355,0.655,0.9165,
252393,No,0,1448.332509,,2024-01-01 07:17:21+00,0.035,0.035,0.12,0.1
252400,No,0,35.251139,,2023-11-02 06:04:09+00,0.005,0.365,0.015,0.38
252401,Yes,1,40335.619206,,2024-01-03 02:18:08+00,0.915,0.915,0.874,0.9925
252402,No,0,682.49314,,2024-01-01 07:16:37+00,0.055,0.055,0.245,0.15
252403,Yes,1,15.0,,2023-10-01 06:17:04+00,0.98,0.98,,
252404,No,0,14.1414,,2023-10-07 18:00:15+00,0.47,0.48,0.25,
252405,No,0,247.170059,,2023-11-01 21:49:19+00,0.175,0.215,0.565,0.79
252406,No,0,258.35722599999997,,2023-10-15 06:35:47+00,0.235,0.235,0.17,
252407,No,0,926.147427,,2023-09-28 12:47:05+00,0.365,0.25,,
252408,No,0,1924.530867,,2023-09-28 14:47:08+00,0.705,0.675,,
252409,Yes,1,1999.177427,,2023-09-28 07:02:10+00,0.725,0.575,,
252410,No,0,1027.165831,,2023-09-28 14:47:18+00,0.49,0.445,,
252415,Yes,1,1259.685581,,2023-09-28 05:47:05+00,0.72,0.625,,
252417,No,0,2035.1205770000001,,2023-09-28 15:02:38+00,0.5,0.375,,
252418,No,0,1530.394267,,2023-09-28 08:02:22+00,0.125,0.15,,
252419,No,0,2713.145541,,2023-09-28 14:47:28+00,0.62,0.525,,
252421,Yes,1,138174.792319,,2024-01-12 19:47:07+00,0.9815,0.98,0.957,0.93
252422,No,0,99623.745256,,2024-01-12 20:17:37+00,0.18,0.185,0.375,0.055
252423,Yes,1,2986.673278,,2023-09-28 12:47:53+00,0.715,0.7,,
252424,No,0,1277.959819,,2023-09-28 12:48:07+00,0.655,0.425,,
252425,No,0,1400.224119,,2023-09-28 08:32:24+00,0.11,0.15,,
252427,Yes,1,435.54888500000004,,2023-09-28 08:32:36+00,0.53,0.455,,
252428,No,0,5075.357146,,2023-10-03 02:16:11+00,0.0025,0.025,,
252429,No,0,2133.362897,,2023-10-03 01:46:53+00,0.01,0.015,,
252430,Yes,1,390.469874,,2023-10-03 04:16:05+00,0.995,0.9905,,
252431,No,0,38046.346095999994,,2023-12-01 07:08:12+00,0.001,0.004,0.029,0.46
252433,No,0,15526.373147999999,,2023-11-01 06:06:13+00,0.002,0.002,0.05,0.21
252434,Yes,1,0.042856,,2023-09-30 15:32:50+00,0.375,0.375,,
252435,No,0,0.0375,,2023-09-30 18:02:23+00,0.725,0.725,,
252436,Yes,1,7.5,,2023-09-30 18:17:33+00,0.725,0.725,,
252437,Yes,1,37.138885,,2023-09-30 18:17:43+00,0.675,0.675,,
252438,Yes,1,0.0,,2023-09-30 18:02:35+00,0.635,0.635,,
252439,No,0,0.0,,2023-09-30 18:02:43+00,0.59,0.59,,
252440,No,0,0.0,,2023-09-30 18:03:03+00,0.605,0.605,,
252441,No,0,0.0,,2023-10-01 09:17:16+00,0.5,0.435,,
252442,No,0,0.0,,2023-10-01 17:17:26+00,0.5,0.5,,
