chain,total_sampled_balance,holder_count,top5_share,top10_share,top20_share,top5_balance,top10_balance,collected_at
Ethereum Mainnet,319896372.6401379,44,82.85769684861168,98.48256757372354,99.9940108347247,265058766.67187065,315042161.3512143,2026-02-06T15:52:02.141748
Arbitrum One (v2 Court),16067577.07209418,47,93.31309781967298,99.03211623492864,99.96822237833535,14993153.910534589,15912061.60217305,2026-02-06T15:52:02.141748
